Num;Fragment;Origin;ToxProb;NoToxProb
0;CC(;CC(O)=S;0.16684039;0.8331596
1;C;O=CC(O)C(O)C(O)C(O)CO;0.08056531;0.9194347
3;(;O=CNN(C=O)CC(CBr)Br;0.002352069;0.99764794
5;=;O=S(=O)(c1ccccc1)SCCl;0.03344286;0.9665571
6;l;O=S(=O)(c1ccccc1)SCCl;0.03344286;0.9665571
8;C1;O=C(O)C1CCC(N)CC1;0.34000924;0.6599908
9;C(;O=C(OC)CC(=O)CC;0.24420647;0.7557935
18;1;OC3c2cccc(OCc1ccccc1)c2CCC3;0.81795955;0.1820404
19;Cl;O=C(c1ccc(OC)cc1)CCl;0.62603486;0.37396514
25;CC(C;NCC(C)(C)CN;0.2550987;0.74490136
26;N;C(=NCCCCC=C)=S;0.28946507;0.71053493
45;CC;O=C(OC)NCCOC(=O)C(=C)C;0.73541826;0.26458174
49;CCC=C;OCCC=C;0.9963536;0.0036463297
50;OCCC=C;OCCC=C;0.9963536;0.0036463297
58;N+;O=S(=O)(O)CCCC[N+](C)(CCO)CCO;0.0005070574;0.9994929
60;=S(;O=S(=O)(C=C)C=C;0.00743527;0.9925647
68;2;Oc2ccc(Oc1ccccc1)cc2;0.9313204;0.06867959
71;N1C(;N1C(=S)SCC1(C)C;0.013126995;0.986873
82;(C;CC(C)(C)O;0.06780712;0.93219286
86;CC1;O=C(O)C2CC1OC2(CC1);0.09288468;0.90711534
92;c1c;Oc1c(cc(cc1Br)C)C(C)(C)C;0.99848807;0.0015118754
101;#NAME?;C=CCNN;0.62337226;0.37662777
110;=C;O=C(O)CCCc1ccc(O)cc1;0.37839457;0.6216054
116;(=NC);C(=NC)=S;0.001207975;0.9987921
126;+;[C-]#[N+]CC(=O)OCC;0.16866447;0.83133554
131;(C1;N1CC2CCCCC2(C1);0.09407654;0.9059234
136;CC2;Fc1ccc(O)c2c1CCC2;0.934137;0.065863036
139;NC(O;O=CNC(O)C;0.057192307;0.94280773
146;(F;O=C(OCC)CCC(F)(F)F;0.044168625;0.95583135
147;C(C;O=C(C)S;0.53735983;0.46264017
155;i;O(C)[Si](OC)(OC)c1ccc(C=C)cc1;0.44968316;0.5503169
161;=S(=;O=S(=O)(O)CO;0.0016836462;0.9983164
166;N3;N3=C(c1ccccc1)c2ccccc2CC3;0.8114324;0.18856758
184;C(N;O=C(N)C(O)C;0.0028407138;0.99715924
