Num;Fragment;Origin;ToxProb;NoToxProb
0;=C2N(Cc1ccccc1;O=C2N(Cc1ccccc1)CC(=O)C23(CC3);0.99575704;0.004242965
1;O=C2N(Cc1ccccc1;O=C2N(Cc1ccccc1)CC(=O)C23(CC3);0.99575704;0.004242965
2;c1nc(N)sn1;O=C(OC)C(=NOCF)c1nc(N)sn1;0.5600219;0.4399781
3;=C(OC)C;O=C(OC)C(=NOCF)c1nc(N)sn1;0.5600219;0.4399781
4;OCF;O=C(OC)C(=NOCF)c1nc(N)sn1;0.5600219;0.4399781
5;=;O=C(OC)C(=NOCF)c1nc(N)sn1;0.5600219;0.4399781
6;CC(O)=S;CC(O)=S;0.16684039;0.8331596
7;cc1)C;O=C(Oc1ccc(cc1)C(=O)OCc2ccccc2)c3cccc(c3)C(=O)Oc4ccc(cc4)C(=O)OCc5ccccc5;0.34612852;0.65387154
8;cc4;O=C(Oc1ccc(cc1)C(=O)OCc2ccccc2)c3cccc(c3)C(=O)Oc4ccc(cc4)C(=O)OCc5ccccc5;0.34612852;0.65387154
9;c(c3;O=C(Oc1ccc(cc1)C(=O)OCc2ccccc2)c3cccc(c3)C(=O)Oc4ccc(cc4)C(=O)OCc5ccccc5;0.34612852;0.65387154
11;c2;O=C(Oc1ccc(cc1)C(=O)OCc2ccccc2)c3cccc(c3)C(=O)Oc4ccc(cc4)C(=O)OCc5ccccc5;0.34612852;0.65387154
12;1cccc2cc[nH]c12;n1cccc2cc[nH]c12;0.06094947;0.93905056
13;n1cccc2cc[nH]c12;n1cccc2cc[nH]c12;0.06094947;0.93905056
14;=S(=O)(N)C(C)(C)C;O=S(=O)(N)C(C)(C)C;0.009821361;0.9901786
15;O=S(=O)(N)C(C)(C)C;O=S(=O)(N)C(C)(C)C;0.009821361;0.9901786
16;=C(OCC;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.028231928;0.9717681
17;CCC;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.028231928;0.9717681
18;)C)c12)C(=;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.028231928;0.9717681
19;O=C(OCC;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.028231928;0.9717681
20;S(=;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.028231928;0.9717681
22;2;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.028231928;0.9717681
23;(;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.028231928;0.9717681
24;CC;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.028231928;0.9717681
25;N;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.028231928;0.9717681
26;=C2OC(OC(=O);O=C2OC(OC(=O)C2(=Cc1ccc(O)cc1))(C)C;0.19036718;0.80963284
27;cc(O)cc1);O=C2OC(OC(=O)C2(=Cc1ccc(O)cc1))(C)C;0.19036718;0.80963284
28;=CC(O)C(O)C(O)C(O)CO;O=CC(O)C(O)C(O)C(O)CO;0.08056531;0.9194347
29;O=CC(O)C(O)C(O)C(O)CO;O=CC(O)C(O)C(O)C(O)CO;0.08056531;0.9194347
30;=C(c1ccccc1)C(O)(C)C;O=C(c1ccccc1)C(O)(C)C;0.9991147;0.0008852758
31;O=C(c1ccccc1)C(O)(C)C;O=C(c1ccccc1)C(O)(C)C;0.9991147;0.0008852758
32;cc1)N(C)C);O=C(C=Cc1ccc(cc1)N(C)C)C=Cc2ccc(cc2)N(C)C;0.22829394;0.7717061
33;c2ccc(cc2)N(C;O=C(C=Cc1ccc(cc1)N(C)C)C=Cc2ccc(cc2)N(C)C;0.22829394;0.7717061
34;O=C;O=C(C=Cc1ccc(cc1)N(C)C)C=Cc2ccc(cc2)N(C)C;0.22829394;0.7717061
35;C;O=C(C=Cc1ccc(cc1)N(C)C)C=Cc2ccc(cc2)N(C)C;0.22829394;0.7717061
37;=C(Nc3ccc(N=Nc1cc(ccc1(O))c2ccccc2)cc3)c4ccccc4;O=C(Nc3ccc(N=Nc1cc(ccc1(O))c2ccccc2)cc3)c4ccccc4;0.9856823;0.014317656
