,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,155,1,1,,435565,67326,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the rad50 strain,Other,,
1,157,1,1,,435565,67326,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the mec2-1 strain,Other,,
2,161,1,1,,435565,67326,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the sgs1 mgt1 strain,Other,,
3,165,1,1,,435565,67326,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the cln2 rad14 strain,Other,,
4,167,1,1,,435565,67326,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the bub3 strain,Other,,
5,175,1,1,,435565,67326,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the mlh1 rad18 strain,Other,,
6,248,1,1,,435565,67326,Inactive,,,,,NCI In Vivo Anticancer Drug Screen. Data for tumor model  L1210 Leukemia (intraperitoneal) in B6D2F1 (BDF1) mice,Other,,
7,1811,3,2,,46393244,67326,Active,157833977.0,,,,Experimentally measured binding affinity data derived from PDB,Other,7634078.0,
8,155316,3,9,,103174346,67326,Unspecified,130374.0,281413.0,,,Molar pI50 value for phenylethanolamine N-methyl-transferase (PNMT) inhibition,Other,3339613.0,
9,155317,3,9,,103174346,67326,Unspecified,130374.0,281413.0,,,Acid dissociation constant of phenylethanolamine N-methyl-transferase (PNMT) inhibition,Other,3339613.0,
10,214878,10,5,,103174346,67326,Active,205371855.0,780933.0,0.43,Ki,Binding affinity against bovine trypsin,Confirmatory,12036355.0,
11,215916,3,7,,103174346,67326,Unspecified,,,,,Binding affinity against trypsin,Other,12061879.0,
12,225081,6,1,,103174346,67326,Unspecified,,,,,Inhibition of phenylethanolamine N-methyltransferase(PNMT)activity,Other,6876077.0,
13,273097,3,9,,103174346,67326,Unspecified,2501336.0,8639.0,,,Activity of human SSAO measured as hydrogen peroxide production at 1 mM relative to benzylamine oxidation,Other,17034126.0,
14,273098,3,9,,103174346,67326,Unspecified,5902787.0,11754.0,,,Activity of mouse SSAO measured as hydrogen peroxide production at 100 uM relative to benzylamine oxidation,Other,17034126.0,
15,273099,6,7,,103174346,67326,Unspecified,2501336.0,8639.0,205.0,Km,Binding affinity to human SSAO,Confirmatory,17034126.0,
16,273100,6,7,,103174346,67326,Active,5902787.0,11754.0,15.7,Km,Binding affinity to mouse SSAO,Confirmatory,17034126.0,
17,977610,3,1,,46393244,67326,Active,157833977.0,,430.0,Ki,Experimentally measured binding affinity data (Ki) for protein-ligand complexes derived from PDB,Other,7634078.0,
