,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,880,2,1,,26757995,3393,Inactive,3290016.0,6002.0,,,qHTS Assay for Inhibitors of RGS12 GoLoco Motif Activity (Red Fluorophore),Confirmatory,,
1,880,2,1,,26757995,3393,Inactive,33946324.0,2770.0,,,qHTS Assay for Inhibitors of RGS12 GoLoco Motif Activity (Red Fluorophore),Confirmatory,,
2,1195,1,2,,48416030,3393,Active,,,,,DSSTox (FDAMDD) FDA Maximum (Recommended) Daily Dose Database,Other,,
3,1469,1,1,,26757995,3393,Inactive,189491771.0,7068.0,,Potency,qHTS for Inhibitors of the Interaction of Thyroid Hormone Receptor and Steroid Receptor Coregulator 2,Confirmatory,,
4,1471,2,1,,26757995,3393,Inactive,90903231.0,3064.0,,,qHTS Multiplex Assay to Identify Dual Action Probes in a Cell Model of Huntington: Cytoprotection (ATP),Confirmatory,,
5,1479,1,2,,26757995,3393,Inactive,189491771.0,7068.0,,Potency,Total Fluorescence Counterscreen for Inhibitors of the Interaction of Thyroid Hormone Receptor and Steroid Receptor Coregulator 2,Confirmatory,,
6,1487,1,1,,26757995,3393,Inactive,27436948.0,4000.0,,Potency,qHTS Assay for Modulators of Lamin A Splicing,Confirmatory,,
7,1490,2,1,,26757995,3393,Inactive,10954339.0,,,Potency,qHTS Assay for Inhibitors of Bacillus subtilis Sfp phosphopantetheinyl transferase (PPTase),Confirmatory,,
8,1688,1,1,,26757995,3393,Inactive,90903231.0,3064.0,,Potency,qHTS Multiplex Assay to Identify Dual Action Probes in a Cell Model of Huntington: Aggregate Formation (GFP),Confirmatory,,
9,1766,1,1,,26757995,3393,Inactive,18860839.0,4221.0,,Potency,qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide,Confirmatory,,
10,1766,1,1,,26757995,3393,Inactive,56550039.0,4297.0,,Potency,qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Fluorescein Labeled MLL-derived Peptide,Confirmatory,,
11,1768,1,1,,26757995,3393,Inactive,18860839.0,4221.0,,Potency,qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Texas Red Labeled MLL-derived Mutant Peptide,Confirmatory,,
12,1768,1,1,,26757995,3393,Inactive,56550039.0,4297.0,,Potency,qHTS Assay for Inhibitors Targeting the Menin-MLL Interaction in MLL Related Leukemias: Competition With Texas Red Labeled MLL-derived Mutant Peptide,Confirmatory,,
13,2528,1,2,,26757995,3393,Inactive,4557365.0,641.0,,Potency,qHTS Assay for Inhibitors of Bloom's syndrome helicase (BLM),Confirmatory,,
14,2546,1,1,,26757995,3393,Inactive,188536040.0,19885.0,,Potency,VP16 counterscreen qHTS for inhibitors of ROR gamma transcriptional activity,Confirmatory,,
15,2551,1,1,,26757995,3393,Inactive,188536040.0,19885.0,,Potency,qHTS for inhibitors of ROR gamma transcriptional activity,Confirmatory,,
16,2662,2,1,,26757995,3393,Inactive,56550039.0,4297.0,,Potency,qHTS Fluorescence Polarization Assay for Inhibitors of MLL CXXC domain - DNA interaction,Confirmatory,,
17,23479,3,3,,103252248,3393,Unspecified,,,,,Partition coefficient (logP),Other,7359533.0,
18,127314,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.01 mg/kg in monkey 2036 Range (25-28),Other,1977910.0,
19,127315,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.01 mg/kg in monkey 2037 Range (33-51),Other,1977910.0,
20,127316,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.01 mg/kg in monkey 3017 Range (14-22),Other,1977910.0,
21,127437,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.03 mg/kg in monkey 2036 Range (30-36),Other,1977910.0,
22,127438,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.03 mg/kg in monkey 2037 Range (63-73),Other,1977910.0,
23,127441,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.03 mg/kg in monkey 3017 Range (26-29),Other,1977910.0,
24,127442,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.03 mg/kg in monkey 3038 Range (0-14),Other,1977910.0,
25,127445,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.03 mg/kg in monkey 9083 Range (19-47),Other,1977910.0,
26,127447,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.1 mg/kg in monkey 2036 Range (37-43),Other,1977910.0,
27,127448,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.1 mg/kg in monkey 2037,Other,1977910.0,
28,127449,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.1 mg/kg in monkey 3017 Range (40-47),Other,1977910.0,
29,127450,3,3,,103252248,3393,Unspecified,,,,,Tested for ability to maintain self-administration after administration of 0.1 mg/kg in monkey 3038 Range (42-58),Other,1977910.0,
