1;O=C2N(Cc1ccccc1)CC(=O)C23(CC3);1
2;O=C(OC)C(=NOCF)c1nc(N)sn1;1
3;CC(O)=S;0
4;O=C(Oc1ccc(cc1)C(=O)OCc2ccccc2)c3cccc(c3)C(=O)Oc4ccc(cc4)C(=O)OCc5ccccc5;0
5;n1cccc2cc[nH]c12;0
6;O=S(=O)(N)C(C)(C)C;0
7;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0
8;O=C2OC(OC(=O)C2(=Cc1ccc(O)cc1))(C)C;0
9;O=CC(O)C(O)C(O)C(O)CO;0
10;O=C(c1ccccc1)C(O)(C)C;0
11;O=C(C=Cc1ccc(cc1)N(C)C)C=Cc2ccc(cc2)N(C)C;0
12;O=C(Nc3ccc(N=Nc1cc(ccc1(O))c2ccccc2)cc3)c4ccccc4;0
13;Fc1cc(cc(F)c1(F))C2=CCC(CC2)CCC3CCC(CCC)CC3;0
14;O=C1OC2=CC=CC=CC2(=C1);1
15;O=C(O)C(NC(=O)N)(C)Cc1ccc(OC)c(OC)c1;0
16;N1=C(N=C2C1=C3C=CC=CC3(=NCC2))C;0
17;O=C(OC(C(=O)OCCCCCCCCCCCC)C)c1ccc(c(c1)[N+](=O)[O-])Cl;0
18;O=C(n1cncc1)N2C(OCC2(C)C)(C)CCCc3ccc(cc3)Cl;0
19;O=C(O)CCCS(=O)(=O)CCCCCCCCCCCC;0
20;C1=C(CCCC)CCC(C1)C2CCC(CCC)CC2;0
21;O=C6OC(C=C(c2c1ccccc1n(c2C)CC)c4c3ccccc3n(c4C)CC)(c5ccc(cc5)N(CC)CC)c7ccccc67;0
22;C=CCCCCCCC=C;0
23;O=C1NC(C(=O)OC(C)(C)C)CN1C;0
24;O=CNN(C=O)CC(CBr)Br;1
25;O(CC)C1CC(C)CC(C)(C)C1;0
26;O=C4NN=C(c1ccc2nc([nH]c2(c1))c3ccc(OC)cc3)C(C)C4;0
27;O=C(OCCCN2c1ccc(cc1CC2)CC([N+](=O)[O-])C)c3ccccc3;0
28;O=C(O)c1ccc(OC(=O)CCCCCCCCC)cc1;0
29;n1ccc(cc1)N2CCCCC2;0
