0;=C2N(Cc1cc;O=C2N(Cc1ccccc1)CC(=O)C23(CC3);0.8303895;0.16961047
1;C3;O=C2N(Cc1ccccc1)CC(=O)C23(CC3);0.8303895;0.16961047
2;O=C2N(Cc1cc;O=C2N(Cc1ccccc1)CC(=O)C23(CC3);0.8303895;0.16961047
3;c(N)sn1;O=C(OC)C(=NOCF)c1nc(N)sn1;0.55673254;0.44326746
4;c1;O=C(OC)C(=NOCF)c1nc(N)sn1;0.55673254;0.44326746
5;F;O=C(OC)C(=NOCF)c1nc(N)sn1;0.55673254;0.44326746
6;C(O)=S;CC(O)=S;0.45551372;0.5444863
7;CC(O)=S;CC(O)=S;0.45551372;0.5444863
8;cc1);O=C(Oc1ccc(cc1)C(=O)OCc2ccccc2)c3cccc(c3)C(=O)Oc4ccc(cc4)C(=O)OCc5ccccc5;0.5102891;0.48971093
9;cc4;O=C(Oc1ccc(cc1)C(=O)OCc2ccccc2)c3cccc(c3)C(=O)Oc4ccc(cc4)C(=O)OCc5ccccc5;0.5102891;0.48971093
10;H]c12;n1cccc2cc[nH]c12;0.49617064;0.5038293
11;(C;O=S(=O)(N)C(C)(C)C;0.29708195;0.70291805
12;S(;O=S(=O)(N)C(C)(C)C;0.29708195;0.70291805
13;(C;O=S(=O)(N)C(C)(C)C;0.29708195;0.70291805
14;(C;O=S(=O)(N)C(C)(C)C;0.29708195;0.70291805
15;O;O=S(=O)(N)C(C)(C)C;0.29708195;0.70291805
16;C;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.43433374;0.56566626
17;=;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.43433374;0.56566626
18;1;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.43433374;0.56566626
19;=;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.43433374;0.56566626
20;C;O=C(OCC(C)C)Nc1cccc2c(O)c(cc(OCCOS(=O)(=O)C)c12)C(=O)NCCCC;0.43433374;0.56566626
